cardapio,prato,ingrediente,qtd_necessaria
Cardápio 1 (Seg/Ter),Arroz Branco,Arroz Branco,6.0
Cardápio 1 (Seg/Ter),arroz branco,Alho,1.0
Cardápio 1 (Seg/Ter),Bife Acebolado,Alho,1.0
Cardápio 1 (Seg/Ter),Bife Acebolado,Óleo de soja,0.5
Cardápio 1 (Seg/Ter),Bife Acebolado,Alcatra,2.0
Cardápio 1 (Seg/Ter),Macarrão espagheti,Macarrão espagheti,1.0
Cardápio 1 (Seg/Ter),Macarrão espagheti,Molho de Tomate,3.0
Cardápio 1 (Seg/Ter),Arroz Branco,Arroz Branco,2.0
Cardápio 1 (Seg/Ter),Arroz Branco,Alho,1.0
Cardápio 1 (Seg/Ter),Arroz Branco,Óleo de soja,1.0
